company,job,location,money
咪狗互娱（广州）信息科技有限公司,Python Web开发工程师,广州-天河区,6-8千/月
南京硅基智能科技有限公司,Python开发工程师,南京,1.5-3万/月
深圳市鑫王牌科技发展有限公司,Python高级开发工程师,深圳-南山区,0.8-1万/月
上海屹脉信息科技有限公司,Python开发工程师,上海-静安区,0.8-1.2万/月
执鼎医疗科技（杭州）有限公司,Python开发工程师,杭州-滨江区,1.5-2万/月
深圳市中投兴业有限公司,Python爬虫工程师,深圳-福田区,1-1.5万/月
深圳市度点科技有限公司,Python后台开发工程师,深圳-宝安区,1-3万/月
广东奇龙网络科技有限公司,python工程师,广州-天河区,0.8-2万/月
诺基亚通信系统技术（北京）有限公...,Python开发工程师,杭州-滨江区,160元/天
北京四维图新科技股份有限公司,软件开发工程师(python/c++)-NDS,北京-海淀区,0.8-1万/月
上海钦文信息科技有限公司,初级开发工程师（Python）,上海-浦东新区,0.7-1.4万/月
上海掘东信息技术有限公司,Python 开发工程师,上海-徐汇区,1.4-2.8万/月
上海合阔信息技术有限公司,Python开发工程师（SaaS）,上海,1.5-2.5万/月
南京青花瓷软件科技有限公司,Python开发工程师（2年左右经验，外包）,南京,0.6-1.1万/月
厦门吉信德电子商务有限公司,Python爬虫工程师,厦门,1-1.5万/月
北京欣如信科技有限公司哈尔滨分公司,Python开发学徒（可实习可带）+3600起薪,哈尔滨-松北区,3-4.5千/月
广州嘉为科技有限公司,Python开发工程师,广州-天河区,0.8-1万/月
深圳市风云互动网络科技有限公司,Python开发工程师,异地招聘,0.8-1.5万/月
武汉白虹软件科技有限公司,Python开发工程师（数据清洗）,武汉,0.7-1.3万/月
墨智科技（深圳）有限公司,量化风控经理/风控建模经理/R/Python,上海-静安区,1-1.5万/月
上海铱芯信息科技有限公司,python/java软件工程师,上海-浦东新区,1-1.5万/月
海南大云科技有限公司,Python高级开发工程师,北京-朝阳区,2-3万/月
航天星图科技（北京）有限公司,云平台开发工程师（JAVA、Python）,北京-顺义区,1.5-3万/月
广州锦行网络科技有限公司,Python开发工程师,广州-越秀区,0.6-1万/月
博彦科技股份有限公司,python开发工程师（机器学习）,北京-海淀区,1.2-1.5万/月
上海基诺伟嘉实业有限公司,Python/Odoo高级开发工程师,上海-浦东新区,0.8-1.5万/月
万得信息技术股份有限公司（Wind资...,服务端研发工程师-Python（万得子公司）,上海-浦东新区,
上海十露盘科技有限公司,Python开发工程师,上海-浦东新区,1.5-2.5万/月
深圳市希仑科技有限公司,python爬虫开发工程师,广州,1-1.5万/月
上海同亦科技有限公司,Python开发工程师（企业自动化运维）,上海-杨浦区,0.8-2.5万/月
安徽晶奇网络科技股份有限公司,python开发工程师,合肥-高新区,0.5-1.3万/月
宁波市人才服务中心,Python软件工程师,宁波-镇海区,0.6-1.2万/月
达而观信息科技（上海）有限公司,Python开发工程师,上海-浦东新区,1-1.5万/月
天意有福科技股份有限公司,PHP/Python ERP软件开发工程师,广州-天河区,0.6-1万/月
深圳电竞风暴科技有限公司,python开发高级工程师,深圳-南山区,2-3万/月
安徽凌讯网络有限公司,Python开发工程师,合肥-包河区,0.9-1.5万/月
杭州大搜车汽车服务有限公司,Python研发工程师（数据平台）,杭州-余杭区,0.9-1.5万/月
人人车,python运维开发工程师（侧重开发）,北京-朝阳区,1.5-2万/月
大连龙图信息技术股份有限公司,大数据/Hadoop/Python开发工程师,大连-高新园区,0.8-1.5万/月
广州接入信息科技有限公司,python程序员,广州-天河区,1-1.8万/月
上海基分文化传播有限公司,Python开发工程师,上海-浦东新区,2-3.5万/月
广州奕策贸易有限公司,IT系统工程师（熟悉Python）,广州-番禺区,0.9-1.4万/月
深圳市三创达实业有限公司,Python开发工程师/游戏服务端,深圳-宝安区,1-2万/月
昆明花易宝科技有限公司,Python开发工程师,异地招聘,0.5-1万/月
中奕信息技术有限责任公司,Python开发工程师,郑州-郑东新区,6-8千/月
上海凯融信息科技有限公司,Python开发/深度学习,上海-普陀区,0.7-1.5万/月
浙江远传信息技术股份有限公司,Python工程师（中高级）,杭州-滨江区,1-1.5万/月
竹间智能科技（上海）有限公司,Python开发工程师,上海,1.8-4万/月
上海润和信息技术服务有限公司,Python开发工程师,上海,1.5-2万/月
北京天广汇通科技有限公司成都分公司,Python高级后台工程师,成都,1.5-2万/月
厦门蓝斯通信股份有限公司,python工程师（自动化测试方向）,厦门,5-9千/月
深圳市匡曲科技有限公司,python开发工程师,深圳-福田区,1.5-2万/月
成都南天佳信信息工程有限公司,软件工程师Python方向,成都,3-8千/月
深圳市新一洲电子商务有限公司,python数据挖掘工程师,深圳-龙华新区,1-1.5万/月
珞曦（上海）文化传播有限公司,Python高级开发工程师 项目Leader,苏州-工业园区,1.5-2万/月
天津狮桥国际物流有限公司,python开发主管(北京),北京-顺义区,1-1.5万/月
北京博辉在线科技发展有限公司,Python测试工程师,北京,0.8-1万/月
宏居网络技术（上海）有限公司,Python开发后端软件工程师,上海,2-3万/月
钱咖网络科技（上海）有限公司,Python开发工程师,上海-黄浦区,1.2-1.8万/月
上海思华科技股份有限公司,云计算开发工程师(Python),上海-浦东新区,1.2-2.4万/月
重庆好奇堂游戏有限公司,Python开发工程师/实习生,西安,5-7千/月
上海勃池信息技术有限公司,爬虫工程师(Java/Python),上海-静安区,1.5-3万/月
合肥市合趣网络科技有限公司,Python高级开发工程师,合肥,1.5-2万/月
深圳市德科信息技术有限公司,Python开发工程师,广州-天河区,0.8-1万/月
杭州览众数据科技有限公司,业务与数据分析师实习生（python工程师方向）,杭州-滨江区,2-3千/月
上海博达数据通信有限公司,Python开发工程师,异地招聘,8-10万/年
长沙聚簇云网络科技有限公司,Python开发工程师,长沙-岳麓区,0.5-1万/月
北京中宇华兴科技有限公司,Python开发工程师,北京,0.8-1万/月
杭州牛盾网络技术有限公司,Python开发工程师,杭州-余杭区,0.8-1.6万/月
上海大岂网络科技有限公司,Python工程师,上海-徐汇区,0.8-1.5万/月
南京思想机器信息科技有限公司,Python开发工程师,南京-江宁区,1-1.5万/月
武汉古奥基因科技有限公司,资深python工程师,武汉-洪山区,0.9-1.7万/月
广州诺涵信息科技有限公司,python开发/爬虫开发工程师,广州-天河区,0.6-1万/月
上海思贤信息技术股份有限公司,python 算法工程师,上海-徐汇区,1-2万/月
广州逗号智能零售有限公司,Python应用工程师（业务系统方向）,广州-天河区,1-1.8万/月
上海景鹄集团有限公司,Python-实习生,上海-黄浦区,3-4.5千/月
深圳市华创科新科技有限公司,Python开发工程师,深圳-南山区,1-1.5万/月
NTT DATA（中国）有限公司,Python Developer,上海-黄浦区,1-1.5万/月
浙江九州云信息科技有限公司,Python开发工程师,上海,1.5-3万/月
广州麦仑信息科技有限公司,Python 开发工程师,广州-天河区,15-20万/年
中嘉博众集团,Python 讲师,沈阳-浑南区,0.8-1万/月
云南汇纽网络科技有限公司,python工程师,昆明-盘龙区,0.6-1万/月
广东盛迪嘉集团有限公司,Python开发工程师,深圳-南山区,2-2.5万/月
趋势科技（中国）有限公司,资深软件开发工程师 - Python/Java,南京-雨花台区,1.5-2.5万/月
北京千锋互联科技有限公司广州分公司,python讲师,广州-天河区,2-3万/月
上海墨鹍数码科技有限公司,测试开发工程师（C++/python）,上海-浦东新区,1.5-2万/月
海风教育-K12 在线一对一,Python高级开发工程师,上海-静安区,2-2.5万/月
君学中国,Python高级开发工程师,上海-浦东新区,0.8-1.5万/月
